timestamp,line,corner_hi,corner_low,game_starting_time,minutes,,,,
00:40:18,17.5,2.15,1.62,10/2/2020 03:45,0 days 00:55:17.602133000,,,,
00:40:18,18.5,3.1,1.31,10/2/2020 03:45,0 days 00:55:17.602133000,,,,
00:12:59,14.5,1.9,1.8,10/2/2020 03:45,0 days 01:27:59.398295000,,,,
00:12:59,15.5,3.05,1.32,10/2/2020 03:45,0 days 01:27:59.3982950002020-02-10 05:15:19.929431,,,,
05:15:20,15.5,3.8,1.22,10/2/2020 03:45,0 days 01:30:19.929431000,,,,
05:19:50,14.5,1.87,1.83,10/2/2020 03:45,0 days 01:34:49.768299000,,,,
05:19:50,15.5,3.25,1.29,10/2/2020 03:45,0 days 01:34:49.768299000,,,,
,,,,,,,,,
,,,,,,,,,2020-02-10 05:23:17.351426,14.5,2.40,1.50,2020-02-10 03:45:00,0 days 01:38:17.351426000
2020-02-10 05:23:17.351426,15.5,4.90,1.14,2020-02-10 03:45:00,0 days 01:38:17.351426000
