timestamp,line,corner_hi,corner_low,game_starting_time,minutes
2020-02-12 08:30:11,9.5,1.85,1.85,2020-02-12 08:30:00,00:00:11
2020-02-12 08:30:11,10.5,2.30,1.54,2020-02-12 08:30:00,00:00:11
2020-02-12 08:30:11,12.5,4.25,1.18,2020-02-12 08:30:00,00:00:11
2020-02-12 08:30:37,9.5,1.75,1.95,2020-02-12 08:30:00,00:00:37
2020-02-12 08:30:37,10.5,2.20,1.59,2020-02-12 08:30:00,00:00:37
2020-02-12 08:31:02,9.5,1.76,1.94,2020-02-12 08:30:00,00:01:02
2020-02-12 08:31:02,10.5,2.20,1.59,2020-02-12 08:30:00,00:01:02
2020-02-12 08:31:27,9.5,1.76,1.94,2020-02-12 08:30:00,00:01:27
2020-02-12 08:31:27,10.5,2.20,1.59,2020-02-12 08:30:00,00:01:27
2020-02-12 08:31:52,9.5,1.76,1.94,2020-02-12 08:30:00,00:01:52
2020-02-12 08:31:52,10.5,2.20,1.59,2020-02-12 08:30:00,00:01:52
2020-02-12 08:32:17,9.5,1.83,1.87,2020-02-12 08:30:00,00:02:17
2020-02-12 08:32:17,10.5,2.30,1.54,2020-02-12 08:30:00,00:02:17
2020-02-12 08:32:42,9.5,1.83,1.87,2020-02-12 08:30:00,00:02:42
2020-02-12 08:32:42,10.5,2.30,1.54,2020-02-12 08:30:00,00:02:42
2020-02-12 08:33:08,9.5,1.83,1.87,2020-02-12 08:30:00,00:03:08
2020-02-12 08:33:08,10.5,2.30,1.54,2020-02-12 08:30:00,00:03:08
2020-02-12 08:33:33,9.5,1.89,1.81,2020-02-12 08:30:00,00:03:33
2020-02-12 08:33:33,10.5,2.43,1.49,2020-02-12 08:30:00,00:03:33
2020-02-12 08:33:58,9.5,1.98,1.73,2020-02-12 08:30:00,00:03:58
2020-02-12 08:33:58,10.5,2.60,1.43,2020-02-12 08:30:00,00:03:58
2020-02-12 08:34:23,9.5,1.98,1.73,2020-02-12 08:30:00,00:04:23
2020-02-12 08:34:23,10.5,2.60,1.43,2020-02-12 08:30:00,00:04:23
2020-02-12 08:34:48,9.5,1.98,1.73,2020-02-12 08:30:00,00:04:48
2020-02-12 08:34:48,10.5,2.60,1.43,2020-02-12 08:30:00,00:04:48
2020-02-12 08:35:13,9.5,1.98,1.73,2020-02-12 08:30:00,00:05:13
2020-02-12 08:35:13,10.5,2.60,1.43,2020-02-12 08:30:00,00:05:13
2020-02-12 08:35:28,9.5,1.98,1.73,2020-02-12 08:30:00,00:05:28
2020-02-12 08:35:28,10.5,2.60,1.43,2020-02-12 08:30:00,00:05:28
2020-02-12 08:36:10,9.5,2.08,1.66,2020-02-12 08:30:00,00:06:10
2020-02-12 08:36:10,10.5,2.75,1.39,2020-02-12 08:30:00,00:06:10
2020-02-12 08:36:26,9.5,2.08,1.66,2020-02-12 08:30:00,00:06:26
2020-02-12 08:36:26,10.5,2.75,1.39,2020-02-12 08:30:00,00:06:26
2020-02-12 08:36:41,9.5,2.08,1.66,2020-02-12 08:30:00,00:06:41
